age,race,,,,,,,,,,,,
33,Hispanic,,,,,,,,,,,,
34,Unknown race,,,,,,,,,,,,
18,Hispanic,,,,,,,,,,,,
74,Black,,,,,,,,,,,,
22,White,,,,,,,,,,,,
20,Hispanic,,,,,,,,,,,,
35,Hispanic,,,,,,,,,,,,
31,Hispanic,,,,,,,,,,,,
53,Black,,,,,,,,,,,,
37,Hispanic,,,,,,,,,,,,
20,Black,,,,,,,,,,,,
28,Black,,,,,,,,,,,,
18,Black,,,,,,,,,,,,
18,Black,,,,,,,,,,,,
48,White,,,,,,,,,,,,
45,White,,,,,,,,,,,,
38,Hispanic,,,,,,,,,,,,
32,White,,,,,,,,,,,,
42,Black,,,,,,,,,,,,
22,Black,,,,,,,,,,,,
17,Black,,,,,,,,,,,,
20,Black,,,,,,,,,,,,
35,Hispanic,,,,,,,,,,,,
52,Unknown race,,,,,,,,,,,,
27,Black,,,,,,,,,,,,
56,Hispanic,,,,,,,,,,,,
61,White,,,,,,,,,,,,
40,White,,,,,,,,,,,,
40,Hispanic,,,,,,,,,,,,
32,White,,,,,,,,,,,,
32,White,,,,,,,,,,,,
19,Black,,,,,,,,,,,,
24,Black,,,,,,,,,,,,
58,White,,,,,,,,,,,,
30,Unknown race,,,,,,,,,,,,
32,Hispanic,,,,,,,,,,,,
41,White,,,,,,,,,,,,
38,White,,,,,,,,,,,,
20,Black,,,,,,,,,,,,
40,Black,,,,,,,,,,,,
33,Hispanic,,,,,,,,,,,,
43,White,,,,,,,,,,,,
46,White,,,,,,,,,,,,
24,Black,,,,,,,,,,,,
35,Hispanic,,,,,,,,,,,,
26,Black,,,,,,,,,,,,
59,Hispanic,,,,,,,,,,,,
27,Black,,,,,,,,,,,,
70,White,,,,,,,,,,,,
37,Hispanic,,,,,,,,,,,,
54,White,,,,,,,,,,,,
37,White,,,,,,,,,,,,
28,Hispanic,,,,,,,,,,,,
39,White,,,,,,,,,,,,
45,White,,,,,,,,,,,,
43,Black,,,,,,,,,,,,
23,White,,,,,,,,,,,,
59,White,,,,,,,,,,,,
41,Black,,,,,,,,,,,,
23,Black,,,,,,,,,,,,
38,Unknown race,,,,,,,,,,,,
35,Black,,,,,,,,,,,,
27,White,,,,,,,,,,,,
35,White,,,,,,,,,,,,
26,Hispanic,,,,,,,,,,,,
32,White,,,,,,,,,,,,
26,Asian,,,,,,,,,,,,
56,White,,,,,,,,,,,,
40,Black,,,,,,,,,,,,
32,Black,,,,,,,,,,,,
58,White,,,,,,,,,,,,
22,Hispanic,,,,,,,,,,,,
62,White,,,,,,,,,,,,
21,Black,,,,,,,,,,,,
44,Black,,,,,,,,,,,,
49,White,,,,,,,,,,,,
30,Black,,,,,,,,,,,,
48,Unknown race,,,,,,,,,,,,
58,White,,,,,,,,,,,,
35,Hispanic,,,,,,,,,,,,
41,White,,,,,,,,,,,,
56,White,,,,,,,,,,,,
41,White,,,,,,,,,,,,
28,White,,,,,,,,,,,,
26,Black,,,,,,,,,,,,
22,Black,,,,,,,,,,,,
33,White,,,,,,,,,,,,
47,White,,,,,,,,,,,,
42,Hispanic,,,,,,,,,,,,
21,Hispanic,,,,,,,,,,,,
32,Unknown race,,,,,,,,,,,,
29,White,,,,,,,,,,,,
45,Black,,,,,,,,,,,,
46,Hispanic,,,,,,,,,,,,
47,White,,,,,,,,,,,,
34,Unknown race,,,,,,,,,,,,
26,Black,,,,,,,,,,,,
17,Hispanic,,,,,,,,,,,,
32,Black,,,,,,,,,,,,
59,Hispanic,,,,,,,,,,,,
46,Unknown race,,,,,,,,,,,,
26,Native American,,,,,,,,,,,,
20,Hispanic,,,,,,,,,,,,
58,White,,,,,,,,,,,,
39,Hispanic,,,,,,,,,,,,
36,Black,,,,,,,,,,,,
40,Black,,,,,,,,,,,,
32,Hispanic,,,,,,,,,,,,
43,Hispanic,,,,,,,,,,,,
47,Black,,,,,,,,,,,,
30,Black,,,,,,,,,,,,
54,White,,,,,,,,,,,,
45,White,,,,,,,,,,,,
44,Black,,,,,,,,,,,,
36,Black,,,,,,,,,,,,
76,Unknown race,,,,,,,,,,,,
30,Black,,,,,,,,,,,,
25,Hispanic,,,,,,,,,,,,
39,White,,,,,,,,,,,,
49,Black,,,,,,,,,,,,
44,White,,,,,,,,,,,,
25,Black,,,,,,,,,,,,
49,Hispanic,,,,,,,,,,,,
31,Unknown race,,,,,,,,,,,,
29,Hispanic,,,,,,,,,,,,
31,White,,,,,,,,,,,,
34,Hispanic,,,,,,,,,,,,
32,Hispanic,,,,,,,,,,,,
59,White,,,,,,,,,,,,
33,Hispanic,,,,,,,,,,,,
38,Hispanic,,,,,,,,,,,,
61,Hispanic,,,,,,,,,,,,
37,Unknown race,,,,,,,,,,,,
35,Asian,,,,,,,,,,,,
37,White,,,,,,,,,,,,
25,White,,,,,,,,,,,,
24,Unknown race,,,,,,,,,,,,
76,Unknown race,,,,,,,,,,,,
52,White,,,,,,,,,,,,
37,Hispanic,,,,,,,,,,,,
51,Hispanic,,,,,,,,,,,,
28,White,,,,,,,,,,,,
37,Hispanic,,,,,,,,,,,,
47,Hispanic,,,,,,,,,,,,
45,White,,,,,,,,,,,,
42,White,,,,,,,,,,,,
26,Hispanic,,,,,,,,,,,,
49,Asian,,,,,,,,,,,,
29,White,,,,,,,,,,,,
17,Black,,,,,,,,,,,,
45,Hispanic,,,,,,,,,,,,
47,Hispanic,,,,,,,,,,,,
31,Unknown race,,,,,,,,,,,,
43,Unknown race,,,,,,,,,,,,
23,Black,,,,,,,,,,,,
46,Hispanic,,,,,,,,,,,,
23,Unknown race,,,,,,,,,,,,
51,White,,,,,,,,,,,,
29,White,,,,,,,,,,,,
29,White,,,,,,,,,,,,
41,White,,,,,,,,,,,,
32,Hispanic,,,,,,,,,,,,
50,Unknown race,,,,,,,,,,,,
46,Unknown race,,,,,,,,,,,,
29,Hispanic,,,,,,,,,,,,
63,White,,,,,,,,,,,,
18,Hispanic,,,,,,,,,,,,
42,White,,,,,,,,,,,,
30,Hispanic,,,,,,,,,,,,
40,Native American,,,,,,,,,,,,
30,White,,,,,,,,,,,,
42,Hispanic,,,,,,,,,,,,
36,White,,,,,,,,,,,,
42,White,,,,,,,,,,,,
36,White,,,,,,,,,,,,
24,White,,,,,,,,,,,,
24,White,,,,,,,,,,,,
42,White,,,,,,,,,,,,
27,White,,,,,,,,,,,,
47,White,,,,,,,,,,,,
32,Native American,,,,,,,,,,,,
33,White,,,,,,,,,,,,
32,Black,,,,,,,,,,,,
42,Native American,,,,,,,,,,,,
43,Black,,,,,,,,,,,,
39,Hispanic,,,,,,,,,,,,
33,Black,,,,,,,,,,,,
28,Black,,,,,,,,,,,,
29,Hispanic,,,,,,,,,,,,
55,Pacific Islander,,,,,,,,,,,,
34,Black,,,,,,,,,,,,
34,Black,,,,,,,,,,,,
20,Hispanic,,,,,,,,,,,,
30,White,,,,,,,,,,,,
21,Hispanic,,,,,,,,,,,,
27,Black,,,,,,,,,,,,
47,White,,,,,,,,,,,,
57,White,,,,,,,,,,,,
33,Black,,,,,,,,,,,,
32,White,,,,,,,,,,,,
28,White,,,,,,,,,,,,
37,Black,,,,,,,,,,,,
24,Black,,,,,,,,,,,,
42,White,,,,,,,,,,,,
35,Black,,,,,,,,,,,,
28,Hispanic,,,,,,,,,,,,
36,Unknown race,,,,,,,,,,,,
26,Unknown race,,,,,,,,,,,,
30,Hispanic,,,,,,,,,,,,
37,White,,,,,,,,,,,,
26,White,,,,,,,,,,,,
50,Hispanic,,,,,,,,,,,,
56,Hispanic,,,,,,,,,,,,
53,White,,,,,,,,,,,,
48,White,,,,,,,,,,,,
19,Black,,,,,,,,,,,,
31,Black,,,,,,,,,,,,
